Locus	Description	Alias
AT1G04250 	 AUX/IAA transcriptional regulator family protein 	 AXR3 IAA17
AT1G24625 	 zinc finger protein 7 	 ZFP7
AT1G25560 	 AP2/B3 transcription factor family protein 	 TEM1 EDF1
AT1G66920 	 Protein kinase superfamily protein 	 nan
AT1G78240 	 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	 TSD2 QUA2 OSU1
AT2G03440 	 nodulin-related protein 1 	 NRP1 ATNRP1
AT2G22190 	 Haloacid dehalogenase-like hydrolase HAD superfamily protein 	 TPPE
AT2G31160 	 Protein of unknown function DUF640 	 LSH3
AT2G39800 	 delta1-pyrroline-5-carboxylate synthase 1 	 P5CS1 ATP5CS
AT2G47460 	 myb domain protein 12 	 MYB12 ATMYB12 PFG1
AT3G04510 	 Protein of unknown function DUF640 	 LSH2
AT3G25710 	 basic helix-loop-helix 32 	 BHLH32 ATAIG1 TMO5
AT3G52470 	 Late embryogenesis abundant LEA hydroxyproline-rich glycoprotein family 	 nan
AT3G57800 	 basic helix-loop-helix bHLH DNA-binding superfamily protein 	 nan
AT3G60530 	 GATA transcription factor 4 	 GATA4
AT4G22540 	 OSBPoxysterol binding protein-related protein 2A 	 ORP2A
AT4G22780 	 ACT domain repeat 7 	 ACR7
AT4G26080 	 Protein phosphatase 2C family protein 	 ABI1 AtABI1
AT4G27980 	 Domain of unknown function DUF3444 	 nan
AT4G35900 	 Basic-leucine zipper bZIP transcription factor family protein 	 FD FD-1 atbzip14
AT4G39480 	 cytochrome P450 family 96 subfamily A polypeptide 9 	 CYP96A9
AT5G07290 	 MEI2-like 4 	 AML4 ML4
AT5G12250 	 beta-6 tubulin 	 TUB6
AT5G20635 	 FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: keratin filament chloroplast; CONTAINS InterPro DOMAIN/s: Keratin high sulphur B2 protein InterPro:IPR002494; Has 6153 Blast hits to 2882 proteins in 265 species: Archae - 6; Bacteria - 47; Metazoa - 4777; Fungi - 68; Plants - 187; Viruses - 30; Other Eukaryotes - 1038 source: NCBI BLink. 	 nan
AT5G22390 	 Protein of unknown function DUF3049 	 nan
AT5G23000 	 myb domain protein 37 	 RAX1 MYB37 ATMYB37
AT5G24910 	 cytochrome P450 family 714 subfamily A polypeptide 1 	 CYP714A1
AT5G49330 	 myb domain protein 111 	 MYB111 ATMYB111 PFG3
AT5G49520 	 WRKY DNA-binding protein 48 	 WRKY48 ATWRKY48
