ath1_probe	FC_27_28_35_36_GSE576	Pvalue_27_28_35_36_down	Pvalue_27_28_35_36_up	FC_29_30_37_38_GSE576	Pvalue_29_30_37_38_down	Pvalue_29_30_37_38_up	FC_31_32_39_40_GSE576	Pvalue_31_32_39_40_down	Pvalue_31_32_39_40_up	FC_33_34_41_42_GSE576	Pvalue_33_34_41_42_down	Pvalue_33_34_41_42_up	ID	Annotation
244901_at	0.0302	0.4489	0.3288	-0.2196	0.0914	0.9601	-0.163	0.1441	0.9269	0.121	0.5688	0.1725	ATMG00640	encodes a plant b subunit of mitochondrial ATP synthase based on structural similarity and the presence in the F(0) complex.
244902_at	0.5184	0.9808	0.0076	0.2388	0.9724	0.0722	-0.2159	0.0736	0.9569	0.2611	0.786	0.056	ATMG00650	Encodes NADH dehydrogenase subunit 4L.
244903_at	0.6361	0.9926	0.0035	-0.1477	0.0802	0.5092	-0.3511	0.0123	0.9932	0.0436	0.3226	0.2205	ATMG00660	hypothetical protein
244904_at	0.4752	0.9602	0.0123	0.0161	0.1882	0.229	-0.1936	0.1037	0.9563	-0.1199	0.1042	0.3748	ATMG00670	hypothetical protein
244905_at	0.1166	0.6476	0.1725	0.1642	0.8324	0.1663	0.2226	0.9323	0.103	0.3958	0.9862	0.0149	ATMG00680	hypothetical protein
244906_at	-0.1329	0.2043	0.8143	-0.0964	0.2706	0.7528	0.0862	0.7392	0.3508	0.0074	0.3977	0.4279	ATMG00690	hypothetical protein
244907_at	-0.036	0.466	0.7067	0.0603	0.1726	0.1477	-0.1088	0.245	0.8485	0.1913	0.7552	0.1083	ATMG00710	hypothetical protein
244908_at	0.0359	0.6237	0.4702	0.1365	0.5911	0.1727	0.042	0.6845	0.4872	0.071	0.4453	0.2327	ATMG00720	hypothetical protein
244909_at	-0.0445	0.1685	0.2506	0.4877	0.9881	0.0092	-0.3668	0.0115	0.9919	0.227	0.6534	0.0692	ATMG00740	hypothetical protein
244910_s_at	0.0144	0.5389	0.4563	0.0648	0.3256	0.2183	-0.2548	0.0436	0.878	0.3351	0.6854	0.0262	ATMG00750;AT2G07686	[ATMG00750, hypothetical protein];[AT2G07686, transposable element gene]
244911_at	0.1005	0.8071	0.351	0.5349	0.9934	0.0065	-0.0529	0.3801	0.7165	0.3831	0.957	0.019	ATMG00820	hypothetical protein
244912_at	0.1844	0.8719	0.1443	-0.0336	0.454	0.6222	-0.1726	0.1028	0.8661	0.0134	0.5054	0.5072	AT2G07783;ATMG00830	[AT2G07783, pseudogene, similar to Ccl1, blastp match of 86% identity and 6.4e-177 P-value to GP|1694629|dbj|BAA12329.1||D84373 Ccl1 {Brassica napus}];[ATMG00830, cytochrome c biogenesis orf382]
244913_at	0.1036	0.8193	0.3212	0.4287	0.9928	0.0131	-0.0004	0.5734	0.6283	-0.0266	0.3007	0.4516	ATMG00840	hypothetical protein
244914_at	0.1953	0.9258	0.1325	0.0046	0.3675	0.3838	-0.2337	0.0472	0.848	0.3891	0.7561	0.0167	ATMG00850;AT2G07682	[ATMG00850, hypothetical protein];[AT2G07682, transposable element gene]
244915_s_at	0.1032	0.8012	0.2934	0.178	0.6243	0.123	-0.3754	0.012	0.9662	0.3786	0.6556	0.0187	ATMG00860;AT2G07682	[ATMG00860, hypothetical protein];[AT2G07682, transposable element gene]
244916_at	0.061	0.6618	0.3977	0.287	0.9592	0.0541	0.1625	0.8739	0.1892	0.2338	0.6842	0.0675	ATMG00880;AT2G07682	[ATMG00880, hypothetical protein];[AT2G07682, transposable element gene]
244917_at	0.2944	0.9735	0.0569	0.5844	0.9987	0.0026	0.0579	0.513	0.2878	0.4005	0.9031	0.0155	ATMG00870	hypothetical protein
244918_at	0.1578	0.8628	0.1709	0.2036	0.9433	0.0901	0.159	0.79	0.1591	0.3094	0.9533	0.0375	ATMG00890	hypothetical protein
244919_at	0.3376	0.9747	0.0363	0.1252	0.7845	0.2208	-0.0177	0.5214	0.6733	0.2566	0.4412	0.0362	AT2G07768;ATMG00960	[AT2G07768, pseudogene, similar to Ccl1, blastp match of 92% identity and 1.9e-108 P-value to GP|1694631|dbj|BAA12330.1||D84374 Ccl1 {Brassica napus}];[ATMG00960, Encodes a protein of the mitochondrial membrane which has been shown to be present in a number of unidentified complexes including a 500-KDa complex postulated to have heme lyase activity, in which another protein (AtCCMH, AT1G15220) is also involved. cytochrome c biogenesis orf203.]
244920_s_at	0.1384	0.8344	0.2097	0.0648	0.3198	0.2159	0.0554	0.6619	0.4312	0.0339	0.3826	0.3009	AT2G07751;ATMG00990	[AT2G07751, NADH-ubiquinone oxidoreductase chain 3, putative];[ATMG00990, NADH dehydrogenase subunit 3]
244921_s_at	-0.1416	0.1117	0.6591	-0.121	0.1235	0.5522	-0.0422	0.2205	0.4621	-0.1694	0.113	0.8084	ATMG01000	hypothetical protein
244922_s_at	0.1761	0.8089	0.1583	-0.1881	0.1183	0.898	0.2625	0.9309	0.0654	0.0255	0.5108	0.4441	AT2G07674;ATMG01010	[AT2G07674, similar to hypothetical protein BrnapMp048 [Brassica napus] (GB:YP_717145.1); contains domain PD020792 (PD020792)];[ATMG01010, hypothetical protein]
244923_s_at	0.141	0.614	0.2039	0.1332	0.7697	0.2056	0.0613	0.6354	0.3896	-0.1036	0.1965	0.6837	ATMG01020	hypothetical protein
244924_at	-0.041	0.328	0.4739	0.3319	0.8479	0.0444	-0.4081	0.0069	0.9953	0.2896	0.8151	0.0452	ATMG01040	hypothetical protein
244925_at	0.1092	0.5347	0.2496	-0.2092	0.0903	0.8948	-0.2874	0.0302	0.9889	-0.2505	0.0528	0.9259	ATMG00510	NADH dehydrogenase subunit 7
