PEAK_chr	PEAK_start	PEAK_end	GENE_chr	GENE_start	GENE_end	ID
chr3	19146155	19149396	chr3	19143652	19148242	AT3G51620
chr3	19146155	19149396	chr3	19143652	19148242	AT3G51620
chr3	19146155	19149396	chr3	19143859	19147891	AT3G51620
chr3	19146155	19149396	chr3	19146251	19147317	AT3G51620
chr3	19146155	19149396	chr3	19146251	19147317	AT3G51620
chr3	19146155	19149396	chr3	19147397	19147782	AT3G51620
chr3	19146155	19149396	chr3	19147397	19147782	AT3G51620
chr3	19146155	19149396	chr3	19147873	19148242	AT3G51620
chr3	19146155	19149396	chr3	19147873	19147891	AT3G51620
chr3	19146155	19149396	chr3	19147892	19148242	AT3G51620
chr3	19146155	19149396	chr3	19143652	19148056	AT3G51620
chr3	19146155	19149396	chr3	19143859	19147944	AT3G51620
chr3	19146155	19149396	chr3	19146251	19147317	AT3G51620
chr3	19146155	19149396	chr3	19146251	19147317	AT3G51620
chr3	19146155	19149396	chr3	19147397	19147782	AT3G51620
chr3	19146155	19149396	chr3	19147397	19147782	AT3G51620
chr3	19146155	19149396	chr3	19147887	19148056	AT3G51620
chr3	19146155	19149396	chr3	19147887	19147944	AT3G51620
chr3	19146155	19149396	chr3	19147945	19148056	AT3G51620
chr3	19146155	19149396	chr3	19148871	19152193	AT3G51630
chr3	19146155	19149396	chr3	19148907	19152193	AT3G51630
chr3	19146155	19149396	chr3	19148907	19149564	AT3G51630
chr3	19146155	19149396	chr3	19148907	19149486	AT3G51630
chr3	19146155	19149396	chr3	19148871	19152125	AT3G51630
chr3	19146155	19149396	chr3	19148871	19149267	AT3G51630
chr3	19146155	19149396	chr3	19148871	19149267	AT3G51630
chr3	19146155	19149396	chr3	19148907	19152193	AT3G51632
chr3	19146155	19149396	chr3	19148907	19152193	AT3G51632
chr3	19146155	19149396	chr3	19149198	19149386	AT3G51632
chr3	19146155	19149396	chr3	19148907	19149564	AT3G51632
chr3	19146155	19149396	chr3	19148907	19149197	AT3G51632
chr3	19146155	19149396	chr3	19149198	19149386	AT3G51632
chr3	19146155	19149396	chr3	19149387	19149564	AT3G51632
chr1	10712645	10714877	chr1	10715665	10718997	AT1G30360
chr1	10712645	10714877	chr1	10715665	10718997	AT1G30360
